Tarih,Kumaş Kodu,Kalite Adı,Desen Adı,Varyant No,Firma Adı,Firma Ülkesi,Hammadde Kodu,Renk Adı,İplik Tipi,Kalite Tipi,Çözgü Adı,Kalite Grubu,Tezgah Kodu,İş Emri No,Proses Kodu,Sipariş No,Kumaş Grubu,İhtiyaç Kg
2023-01-03,91308-EXEKRU-CLASSIC-0000,CLASSIC VELVET,CLASSIC,0000,KUZULUK ÜRETİM,TURKEY,PS 2002 000,EKRU,HAV,KADİFE DÜZ,3802(PS P300 EKRU),KADİFE DÜZ,KK06,1601076,ON-CLASSIC,KZLK_00314,Kadife,760.071
2023-01-04,91308-EXEKRU-CLASSIC-0000,CLASSIC VELVET,CLASSIC,0000,KUZULUK ÜRETİM,TURKEY,PS 2002 000,EKRU,HAV,KADİFE DÜZ,3802(PS P300 EKRU),KADİFE DÜZ,KK02,1601087,ON-CLASSIC,KZLK_00314,Kadife,761.016
2023-01-10,91308-EXEKRU-CLASSIC-0000,CLASSIC VELVET,CLASSIC,0000,KUZULUK ÜRETİM,TURKEY,PS 2002 000,EKRU,HAV,KADİFE DÜZ,3802(PS P300 EKRU),KADİFE DÜZ,KK06,1602838,ON-CLASSIC,KZLK_00314,Kadife,761.016
2023-01-11,1812-D31FC-D1-SD4058-7444,RCQ.MALTA-D1,RCQ.MALTA BC 105,7444,FROCA,SPAIN,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S056,1602856,PP-89Y-SFT,FRO_00085,Jakarlı,1.328
2023-01-11,1812-D31FC-D1-SD4058-7495,RCQ.MALTA-D1,RCQ.MALTA BC 105,7495,FROCA,SPAIN,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S056,1602855,PP-89Y-SFT,FRO_00085,Jakarlı,23.354
2023-01-11,1812-D31FC-D1-SD4058-74CE,RCQ.MALTA-D1,RCQ.MALTA BC 105,74CE,FROCA,SPAIN,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S056,1602853,PP-89Y-SFT,FRO_00085,Jakarlı,23.354
2023-01-11,1812-D31FC-D1-SD4058-74Z7,RCQ.MALTA-D1,RCQ.MALTA BC 105,74Z7,FROCA,SPAIN,RCQPPH 1100 008,KAR,ÇÖZGÜ,SATEN,RCQPPH 1100/KAR 1860 TEL,1800,S056,1602854,PP-89Y-SFT,FRO_00085,Jakarlı,23.354
2023-01-11,91308-EXEKRU-CLASSIC-0000,CLASSIC VELVET,CLASSIC,0000,KUZULUK ÜRETİM,TURKEY,PS 2002 000,EKRU,HAV,KADİFE DÜZ,3802(PS P300 EKRU),KADİFE DÜZ,KK02,1602840,ON-CLASSIC,KZLK_00314,Kadife,761.016
2023-01-16,1803-R31G-R1-M1457-J7Q7,KING-R1,KING 01,J7Q7,HOME GROUP,LITHUANIA,BSS 0004 097,BUZ,ATKI,SATEN,NPE 1000/ZEBRA 1860 TEL,1800 CLASS,A28,1599741,14-04SL,FLE_01594,Armürlü,46.708
2023-01-16,1803-R31G-R1-M1457-J7Q7,KING-R1,KING 01,J7Q7,HOME GROUP,LITHUANIA,BSS 0004 097,BUZ,ATKI,SATEN,NPE 1000/ZEBRA 1860 TEL,1800 CLASS,a28,1603186,14-04SL,FLE_01593,Armürlü,46.708
