Cement,BFS,FA,Water,SP,CAgg,FAgg,Age,CS
480.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,66.80
480.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89
332.5,142.5,0.0,228.0,0.0,932.0,613.0,180,40.27
332.5,142.5,0.0,228.0,0.0,932.0,613.0,180,41.05
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,44.3
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03
380.0,95.0,0.0,228.0,0.0,932.0,613.0,180,43.7
380.0,95.0,0.0,228.0,0.0,932.0,613.0,28,36.45
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85
475.0,0.0,0.0,228.0,0.0,932.0,613.0,28,39.29
