iter	RMSE
0	125.7237645
1	117.1708947
2	109.682818
3	103.1342165
4	97.40948436
5	92.60132887
6	88.31548619
7	84.74237184
8	81.58534345
9	78.87682497
10	76.55951121
11	74.77168078
12	73.1521532
13	71.77285224
14	70.621734
15	69.65475354
16	68.88366756
17	68.17216881
18	67.65923018
19	67.16017939
20	66.67004101
21	66.30744773
22	65.99526821
23	65.68397929
24	65.48152495
25	65.25344382
26	65.07562867
27	64.88763685
28	64.66958203
29	64.47407691
30	64.34962365
31	64.17454253
32	63.97511895
33	63.87866779
34	63.82531553
35	63.74804714
36	63.66588197
37	63.61863956
38	63.55326105
39	63.44823315
40	63.40625517
41	63.37888443
42	63.3107425
43	63.21301102
44	63.15282454
45	63.11354729
46	62.94190494
47	62.921308
48	62.90137357
49	62.71592188
50	62.64491554
51	62.60063599
52	62.54108835
53	62.53147866
54	62.51291945
55	62.41990882
56	62.37862062
57	62.35662693
58	62.34046254
59	62.21484369
60	62.11552382
61	61.9674528
62	61.92828869
63	61.91019906
64	61.88945996
65	61.79049142
66	61.6994971
67	61.67447325
68	61.66506343
69	61.65999409
70	61.62528079
71	61.58608464
72	61.56932055
73	61.52136051
74	61.43866144
75	61.37282812
76	61.29715784
77	61.27647091
78	61.20524747
79	61.19234873
80	61.18024238
81	61.16502107
82	61.07436148
83	60.99463787
84	60.94845985
85	60.82515816
86	60.81114244
87	60.79169651
88	60.72513489
89	60.71334169
90	60.63864203
91	60.59877388
92	60.54625708
93	60.52573246
94	60.51190391
95	60.49912535
96	60.44985015
97	60.41266351
98	60.39929874
99	60.38873834
