iter	Passed	Remaining
0	170	16878
1	234	11467
2	275	8918
3	316	7599
4	358	6809
5	387	6076
6	420	5592
7	464	5342
8	503	5089
9	543	4892
10	583	4718
11	616	4517
12	659	4412
13	702	4316
14	745	4222
15	786	4130
16	824	4027
17	862	3930
18	906	3864
19	946	3786
20	991	3729
21	1037	3679
22	1085	3633
23	1134	3592
24	1186	3558
25	1231	3504
26	1277	3453
27	1319	3392
28	1358	3326
29	1397	3260
30	1438	3201
31	1478	3142
32	1520	3087
33	1559	3027
34	1592	2957
35	1631	2900
36	1675	2852
37	1744	2846
38	1789	2799
39	1836	2754
40	1870	2691
41	1906	2632
42	1939	2570
43	1976	2515
44	2021	2470
45	2056	2414
46	2089	2355
47	2121	2298
48	2151	2239
49	2183	2183
50	2215	2129
51	2244	2072
52	2275	2018
53	2307	1965
54	2343	1917
55	2374	1865
56	2405	1814
57	2435	1763
58	2466	1714
59	2496	1664
60	2525	1614
61	2555	1566
62	2591	1521
63	2620	1473
64	2650	1426
65	2678	1379
66	2707	1333
67	2743	1290
68	2772	1245
69	2804	1202
70	2834	1157
71	2873	1117
72	2915	1078
73	2976	1045
74	3015	1005
75	3054	964
76	3087	922
77	3123	881
78	3154	838
79	3185	796
80	3226	756
81	3259	715
82	3289	673
83	3318	632
84	3347	590
85	3381	550
86	3411	509
87	3443	469
88	3476	429
89	3506	389
90	3540	350
91	3591	312
92	3622	272
93	3656	233
94	3686	194
95	3724	155
96	3760	116
97	3798	77
98	3838	38
99	3879	0
