Tarih,Kumaş Kodu,Kalite Adı,Desen Adı,Varyant No,Firma Adı,Firma Ülkesi,Hammadde Kodu,Renk Adı,İplik Tipi,Kalite Tipi,Çözgü Adı,Kalite Grubu,Tezgah Kodu,İş Emri No,Proses Kodu,Sipariş No,Kumaş Grubu,İhtiyaç Kg
2023-01-23,1812-S21EN-M4278-H274,RCQ.MALTA-S,RCQ.MALTA 02,H274,PANAZ,UK,RCQPPH 1100 008,KAR,ATKI,SATEN,RCQPPH 1100/FILIZI YESIL 1860 TEL,1800,S054,1603769,41,PN_00109,Armürlü,19.666
2023-01-23,1812-S21EN-M4278-Z774,RCQ.MALTA-S,RCQ.MALTA 02,Z774,PANAZ,UK,RCQPPH 1100 008,KAR,ATKI,SATEN,RCQPPH 1100/KARANFİL 1860 TEL,1800,S137,1603850,41,PN_00109,Armürlü,19.666
2023-01-23,1812-T21EN-M4396-4474,RCQ.MALTA-T,RCQ.MALTA 38,4474,PANAZ,UK,RCQPPH 1100 008,KAR,ATKI,SATEN,RCQPPH 1100/MAVI 1860 TEL,1800,S053,1604891,PP-59X,PN_00108,Jakarlı,27.04
2023-03-22,4974-A3RP9-EL-M0484X2R12-0010,EL.GINA-A,EL.GINA 01-1,0010,BRU TEXTILES,BELGIUM,FRM 0003 004,KREM,ATKI,SATEN,FRMX/EKRU,4800 CLAS,Y066,1621468,DK213,BRUTEX_05144,Jakarlı,104.082
2023-03-24,91308-EXEKRU-CLASSIC-0000,CLASSIC VELVET,CLASSIC,0000,KUZULUK ÜRETİM,TURKEY,PS 2002 000,EKRU,HAV,KADİFE DÜZ,3802(PS P300 EKRU),KADİFE DÜZ,KK02,1623570,ON-CLASSIC,KZLK_00341,Kadife,760.071
2024-06-10,2528-A4REK-A6-FF-BB-SD3663/4-74Q3Q3,KOSEM-A6-FF-BB,KOSEM BR 210,74Q3Q3,VALLEY FORGE FABRICS INC.,USA,FRM 0003 004,KREM,ÇÖZGÜ,SATEN,FRM/KARKREK 2400 TEL,2400 CLAS,S036,1710370,PP-89YFFBB-S,VFU_02480,Jakarlı,2.555
2024-06-10,2528-A4REK-A6-FF-BB-SD3663/4-74V3V3,KOSEM-A6-FF-BB,KOSEM BR 210,74V3V3,VALLEY FORGE FABRICS INC.,USA,FRM 0003 004,KREM,ÇÖZGÜ,SATEN,FRM/KARKREK 2400 TEL,2400 CLAS,S036,1710371,PP-89YFFBB-S,VFU_02480,Jakarlı,2.555
2024-09-30,48101-D3RBK-E4446/54-X1010,ANGOLA-D,ANGOLA 04,X1010,DLTOPTEKS MC CREARY,USA,FRM 0003 004,KREM,ÇÖZGÜ,SATEN,FRM/KREM BONE,4800 CLAS,S083,1727649,89YFFBB,DLTOPMC_00469,Armürlü,22.0
2024-09-30,48127-A21DR-SD3418-X10R1,STRONG-A,STRONG 01,X10R1,FURNINOVA,SWEDEN,FRM 0003 004,KREM,ÇÖZGÜ,SATEN,FRM/KREM BONE,4800 CLAS,S082,1727641,PP-89YBB,FUR_02088,Jakarlı,6.6
2024-12-18,2528-A4REK-A2-SD3664/1-N7B8,KOSEM-A2,KOSEM BR 208,N7B8,TJORNBO APS,DENMARK,FRM 0003 004,KREM,ÇÖZGÜ,SATEN,FRM/KUKOKRE 2400 TEL,2400 CLAS,S030,1745298,PP-89Y,TJO_00010,Jakarlı,4.913
2024-12-20,1803-R31G-R3-M1457/2-T4Q7,KING-R3,KING 02,T4Q7,HOME GROUP,LITHUANIA,NPE 1000 449,KUMRU,ÇÖZGÜ,SATEN,NPE 1000/KUMRU 1860 TEL,1800 CLASS,S137,1745594,14-04SL,FLE_01719,Armürlü,237.397
