iter	Passed	Remaining
0	108	10776
1	110	5428
2	112	3649
3	114	2753
4	116	2216
5	118	1856
6	120	1600
7	122	1406
8	124	1255
9	126	1135
10	127	1035
11	129	952
12	131	881
13	133	820
14	135	767
15	137	720
16	139	680
17	141	643
18	142	609
19	144	579
20	146	552
21	148	527
22	150	504
23	152	482
24	154	463
25	156	444
26	158	427
27	159	411
28	161	396
29	163	381
30	165	368
31	167	355
32	169	343
33	170	331
34	172	321
35	174	310
36	176	300
37	178	291
38	180	282
39	182	273
40	183	264
41	185	256
42	187	248
43	189	241
44	191	233
45	193	227
46	195	220
47	197	213
48	198	207
49	200	200
50	202	194
51	204	188
52	206	183
53	208	177
54	210	172
55	212	166
56	214	161
57	215	156
58	217	151
59	219	146
60	221	141
61	223	136
62	225	132
63	227	127
64	228	123
65	230	118
66	232	114
67	234	110
68	236	106
69	238	102
70	240	98
71	242	94
72	243	90
73	245	86
74	247	82
75	249	78
76	251	75
77	253	71
78	255	67
79	257	64
80	259	60
81	261	57
82	263	53
83	265	50
84	267	47
85	268	43
86	270	40
87	272	37
88	274	33
89	276	30
90	278	27
91	280	24
92	282	21
93	283	18
94	285	15
95	287	11
96	289	8
97	291	5
98	293	2
99	295	0
